n,time_s,comp_s,swaps_s,time_rs,comp_rs,swaps_rs
50,5.4e-06,359.2,264,1.3e-05,159.2,63.6
100,8.6e-06,768,588,9.6e-06,167,54
150,1.06e-05,1007,730,3.82e-05,613,204
200,1.52e-05,1573,1036,2.66e-05,637,210
250,2.1e-05,2011,1468,1.42e-05,393,131
300,3.22e-05,2386,1657,2.7e-05,884,454
350,4.72e-05,2565,1883,2.44e-05,537,350
400,3.04e-05,3138,2102,3.8e-05,2150,647
450,3.42e-05,3131,2360,3.46e-05,1396,895
500,3.88e-05,3559,2587,4.52e-05,2228,1032
550,5e-05,4367,3169,1.1e-05,742,133
600,5.56e-05,5036,3663,1.98e-05,1303,463
650,5.72e-05,4893,3560,3.28e-05,1956,473
700,7.42e-05,5456,4036,6.1e-05,2638,1710
750,7.96e-05,5942,4359,2.64e-05,2048,691
800,8.1e-05,6573,4708,3.92e-05,1519,853
850,9.6e-05,7121,5095,3.28e-05,2029,939
900,9.26e-05,7173,5161,6.6e-05,2962,1500
950,9.42e-05,7829,5751,4.86e-05,2434,1703
1000,0.00011,8055,5867,4.34e-05,1952,1200
1050,9.62e-05,8365,6277,4.82e-05,2400,1588
1100,0.0001042,7917,5791,4.04e-05,2574,894
1150,0.0001584,9648,7408,7.44e-05,4555,1613
1200,0.0001162,9091,6735,7.1e-05,2911,1641
1250,0.0001498,10208,7463,5.76e-05,2892,1523
1300,0.0001828,10719,8004,7.52e-05,3331,1990
1350,0.0001932,11347,8451,0.0001064,4581,2818
1400,0.0001838,11674,8843,5.98e-05,3862,1425
1450,0.000208,12128,9083,9.84e-05,4325,3149
1500,0.0001842,12646,9343,0.000115,4723,3321
1550,0.0002118,12901,9702,5.2e-05,3529,454
1600,0.0001916,13680,10239,9.34e-05,4600,2652
1650,0.0001706,14490,11089,8.1e-05,4454,1464
1700,0.0001586,13637,10170,0.0001244,8162,3915
1750,0.0001724,14608,11132,6e-05,4530,1907
1800,0.0002268,15316,11529,7.7e-05,3648,1912
1850,0.0001912,15461,11496,6.46e-05,3028,2149
1900,0.000211,15671,11633,9e-05,5825,2314
1950,0.000175,15091,10913,0.0001106,7296,4426
2000,0.000198,15936,12221,5.16e-05,2811,2224
2050,0.000262,18163,13821,0.0001052,5690,3037
2100,0.0002544,18479,13940,8.22e-05,5721,3005
2150,0.0002614,19760,14960,8.6e-05,5580,2585
2200,0.0002306,19427,14509,6.16e-05,4716,2397
2250,0.0002294,19335,14694,9.26e-05,6399,2446
2300,0.0003034,19547,14358,9.14e-05,5731,2755
2350,0.000251,20005,14848,0.0001454,7755,5735
2400,0.0002396,21021,15758,0.0001426,8736,5582
2450,0.0002756,22097,16478,0.0001866,13747,3907
2500,0.0002976,21718,16543,9.86e-05,5512,4549
2550,0.000293,22843,17064,0.0001516,7533,4774
2600,0.0003916,22671,17107,0.0001652,8727,4886
2650,0.0003562,24305,18119,0.0001406,9097,4106
2700,0.0003018,25035,19064,0.0001346,5626,3100
2750,0.0003866,23873,17701,0.0001298,7663,3468
2800,0.0003112,26014,19553,0.000145,7802,4434
2850,0.0002946,25381,19094,0.0001178,6127,3580
2900,0.0003312,24967,18662,0.0001148,8486,4183
2950,0.0002998,25862,19455,9.42e-05,6420,3242
3000,0.000362,29360,22396,0.0002202,14456,7823
3050,0.0003248,27675,20662,0.0001626,10711,6459
3100,0.000304,25872,19478,8.78e-05,6931,3356
3150,0.0003306,28054,21076,0.0001708,10859,7719
3200,0.0003426,29061,22068,0.0001632,9363,5572
3250,0.000301,25644,18859,0.0001728,13223,6933
3300,0.000323,27559,21161,0.0001028,6190,3607
3350,0.0003704,30540,22841,0.0001626,11151,6093
3400,0.0003362,28857,21514,0.0001104,9649,3684
3450,0.0003922,32489,24644,0.000172,12412,6109
3500,0.0003806,32689,24779,0.0001308,8506,5472
3550,0.0003568,30009,22614,0.0001168,9991,5250
3600,0.0004124,35548,26504,0.0001128,6823,4302
3650,0.0003888,32581,24835,0.00011,9404,4501
3700,0.0003744,31527,23297,0.0001754,12870,6987
3750,0.000422,36698,26934,0.0001654,11563,6686
3800,0.0004146,35760,27335,0.0001742,13053,8216
3850,0.0004554,38693,29272,0.000259,16165,9164
3900,0.000414,35370,26229,0.000195,13805,8277
3950,0.000404,34713,25814,0.0002908,21239,13181
4000,0.0004602,39571,29334,0.000342,20425,14982
4050,0.0004048,35054,26294,0.0001726,12778,5632
4100,0.000436,38229,27986,0.0001076,7771,2630
4150,0.0004656,40192,29780,0.0002148,12727,7896
4200,0.0004086,35751,26537,0.0001758,13686,8688
4250,0.0004444,40471,29436,0.0001562,11636,5355
4300,0.0005078,44626,32623,0.0003156,24067,12013
4350,0.0004382,38777,28989,0.0002032,12345,9289
4400,0.0004438,39542,29342,0.0001754,13864,6901
4450,0.0004346,38528,28415,9.68e-05,8678,4763
4500,0.000472,42129,30975,0.0001282,11313,4420
4550,0.0004832,42660,31381,0.0002342,18606,9917
4600,0.0005112,43808,32039,0.0002252,13272,7873
4650,0.0004758,38685,29580,0.000178,14835,8037
4700,0.0005976,47638,35284,0.000204,18382,7416
4750,0.0005122,45098,33304,0.0001878,12437,7576
4800,0.0005604,48965,36746,0.0002926,16804,12854
4850,0.0005896,53681,39231,0.0003976,22920,17225
4900,0.0006524,56832,42330,0.0002236,12850,7647
4950,0.0007346,64716,49599,0.0001578,9949,6742
5000,0.000553,48012,35642,0.0001462,7243,6015
5050,0.000617,53389,39756,0.0001476,8994,3894
5100,0.0005958,51990,38185,0.0003274,19711,11751
5150,0.0005934,50831,37689,0.0001142,7425,2246
5200,0.000678,59274,44294,0.000312,20730,14768
5250,0.000623,56504,41885,0.0002894,15322,10040
5300,0.0006534,58303,42738,0.0002478,18500,8277
5350,0.0005734,50529,37361,0.0001866,19476,5807
5400,0.0006222,55700,41324,0.0002654,18264,10471
5450,0.0006052,52321,38839,0.0002594,19334,8499
5500,0.0006158,55812,41271,0.0001188,8816,3605
5550,0.0006816,61180,46522,0.0002696,20033,12060
5600,0.0006518,55821,41872,0.000214,16290,6551
5650,0.0005962,51727,38640,7.2e-05,8211,2485
5700,0.0006224,55024,40904,0.000167,13571,5885
5750,0.0006146,54039,40093,0.0003956,26791,20364
5800,0.0006312,55917,41849,0.0001482,10288,5619
5850,0.000693,61197,45291,0.0002288,13527,8268
5900,0.0006602,55175,41212,0.0002172,21832,7788
5950,0.0006818,60801,45022,0.0003264,21016,14679
6000,0.000663,58521,43445,0.0002658,22406,11878
6050,0.0006586,58046,43024,0.00027,25396,12450
6100,0.0006722,59875,44536,0.000171,16893,5512
6150,0.000728,64439,48707,0.0003102,27055,14053
6200,0.000841,68836,51435,0.0001802,16123,3806
6250,0.000749,66480,50190,0.0002872,19968,13715
6300,0.0007604,66952,50677,0.0001644,14606,7341
6350,0.0006568,58092,44044,0.0002676,21893,12668
6400,0.0008596,77621,57282,0.00041,29490,15457
6450,0.000669,59634,44171,0.0002738,16416,10579
6500,0.0007316,65374,48270,0.0003034,18586,14193
6550,0.0006104,51946,38493,0.0002078,17441,10277
6600,0.0007732,67893,50758,0.0002038,15354,8608
6650,0.0008202,72737.4,54131.8,0.0002952,22953.4,12181
6700,0.000682,58866,43455,0.0001856,21315,7112
6750,0.0008294,74013,56085,0.0002344,16582,7891
6800,0.0007096,62849,47157,0.0002522,15604,13498
6850,0.0008432,75530,56069,0.0003838,31014,16465
6900,0.000786,69892,51563,0.000296,20014,13821
6950,0.000769,68950,51292,0.000267,25859,11112
7000,0.0009472,84641,63264,0.0003066,22674,12278
7050,0.0009372,83978,61413,0.0003076,14998,11226
7100,0.0008808,79417,58647,0.0002278,17795,8183
7150,0.0008406,74978,55661,0.000519,33149,26451
7200,0.0008696,77679,57263,0.0003998,29019,14795
7250,0.0007416,64789,48055,0.0004946,33369,26591
7300,0.0008026,70154,52086,0.0002642,31259,8846
7350,0.0021362,81976,60552,0.000254,17778,10052
7400,0.0009206,81359,60540,0.0003844,23233,14891
7450,0.0009428,82832,60800,0.0005786,53741,26436
7500,0.000836,73791,53816,0.0003436,33020,14042
7550,0.0008898,79077,57867,0.0003822,38773,15022
7600,0.0007952,71440,52926,0.0002424,21951,11042
7650,0.0008042,71263,52840,0.0004082,33173,20413
7700,0.0009712,85001,63852,0.0001584,14005,5230
7750,0.0009894,88785,66432,0.0002574,28317,8760
7800,0.000818,72404,55841,0.0002156,26034,9078
7850,0.0009378,84552,62199,0.0004044,26071,15729
7900,0.0009244,81328,60826,0.0002238,16541,9676
7950,0.0009106,79388,59228,0.000304,23161,15046
8000,0.0012792,94983,70399,0.0005096,27154,19105
8050,0.0010154,81099,59912,0.00043,36490,18850
8100,0.0010324,83916,61779,0.000354,21693,13959
8150,0.001032,82791,61278,0.0001214,12454,4040
8200,0.0011538,96223,71575,0.0004232,21249,13538
8250,0.0012582,100393,74414,0.0001968,16986,6201
8300,0.0008684,66228,50062,0.0003368,23611,14384
8350,0.0014592,114319,83020,0.0006162,31729,21196
8400,0.0012134,101489,75507,0.0003472,18225,12942
8450,0.0011362,94330,69947,0.0002952,21143,12455
8500,0.001232,105205,78248,0.000416,27905,16095
8550,0.0011682,95545,71671,0.000378,30261,15923
8600,0.001271,99536,74543,0.0002908,25120,9811
8650,0.0013024,106537,78220,0.0005474,33510,21755
8700,0.0012222,101171,75977,0.000271,20494,9784
8750,0.001341,109233,81210,0.0005274,35296,19393
8800,0.0016712,134854,103064,0.0006172,39819,23958
8850,0.0012762,108440,80590,0.000397,25663,16544
8900,0.0017194,141439,107614,0.0003922,25500,17139
8950,0.0012672,101585,76222,0.000395,24983,16260
9000,0.0013096,104814,76562,0.0005332,33637,21904
9050,0.0012456,103395,76143,0.0003062,32063,9676
9100,0.001093,86534,63474,0.0005288,36095,20609
9150,0.0017016,121137,89189,0.0005052,30323,17404
9200,0.0012864,107868,80535,0.00058,39931,26773
9250,0.0012106,101335,74742,0.0002696,20620,11123
9300,0.0014828,126351,93265,0.0009368,51775,42405
9350,0.0011426,91914,68037,0.000198,25310,7373
9400,0.0014686,124799,92228,0.000751,50316,29649
9450,0.0016106,138163,101475,0.0005102,28583,19407
9500,0.0014858,126361,93164,0.0003716,22814,13808
9550,0.0014974,123620,91918,0.0009192,54120,39574
9600,0.0012582,108406,79542,0.000741,48492,33614
9650,0.0015412,130535,95459,0.0004516,39368,14574
9700,0.0015324,135281,100887,0.0006082,35739,24634
9750,0.0013132,112142,83077,0.0003376,20310,16255
9800,0.0011332,98505,72536,0.0002156,15140,10241
9850,0.0012134,101069,74978,0.0007248,52099,36951
9900,0.0013834,119250,87959,0.0004256,37988,15516
9950,0.0014746,120092,89793,0.000361,23282,16051
10000,0.001461,122814,90676,0.0004668,30932,15797
