n;time;compares_time
1000;0.000000;11.800000
2000;0.000001;10.600000
3000;0.000001;9.000000
4000;0.000001;9.800000
5000;0.000001;10.600000
6000;0.000001;10.600000
7000;0.000001;9.000000
8000;0.000000;9.000000
9000;0.000001;11.000000
10000;0.000001;10.200000
11000;0.000001;12.200000
12000;0.000001;12.200000
13000;0.000000;11.800000
14000;0.000000;11.800000
15000;0.000001;9.800000
16000;0.000001;11.400000
17000;0.000000;12.200000
18000;0.000001;10.600000
19000;0.000001;11.800000
20000;0.000001;11.800000
21000;0.000001;10.200000
22000;0.000001;9.800000
23000;0.000001;11.800000
24000;0.000001;9.800000
25000;0.000001;8.200000
26000;0.000001;11.800000
27000;0.000001;10.600000
28000;0.000000;7.000000
29000;0.000001;11.000000
30000;0.000003;9.400000
31000;0.000002;9.400000
32000;0.000003;8.600000
33000;0.000000;10.600000
34000;0.000001;10.200000
35000;0.000000;10.200000
36000;0.000000;7.800000
37000;0.000001;11.400000
38000;0.000001;10.200000
39000;0.000001;11.000000
40000;0.000001;8.200000
41000;0.000001;12.200000
42000;0.000001;10.600000
43000;0.000001;10.600000
44000;0.000001;11.800000
45000;0.000000;11.400000
46000;0.000001;9.800000
47000;0.000001;11.800000
48000;0.000000;10.200000
49000;0.000001;11.400000
50000;0.000001;10.200000
51000;0.000001;12.200000
52000;0.000001;10.600000
53000;0.000001;11.800000
54000;0.000001;11.000000
55000;0.000001;11.400000
56000;0.000000;7.400000
57000;0.000001;12.600000
58000;0.000001;10.200000
59000;0.000001;12.200000
60000;0.000001;11.000000
61000;0.000001;10.200000
62000;0.000001;7.800000
63000;0.000001;11.400000
64000;0.000001;10.600000
65000;0.000001;8.600000
66000;0.000001;11.000000
67000;0.000001;10.600000
68000;0.000001;11.000000
69000;0.000001;11.000000
70000;0.000001;11.000000
71000;0.000001;10.600000
72000;0.000003;12.600000
73000;0.000003;11.000000
74000;0.000002;7.400000
75000;0.000001;11.000000
76000;0.000001;11.000000
77000;0.000001;12.200000
78000;0.000001;10.200000
79000;0.000001;10.200000
80000;0.000001;10.600000
81000;0.000001;9.800000
82000;0.000001;11.000000
83000;0.000001;10.600000
84000;0.000001;11.800000
85000;0.000001;10.200000
86000;0.000001;11.000000
87000;0.000001;7.000000
88000;0.000001;11.000000
89000;0.000001;11.000000
90000;0.000001;10.600000
91000;0.000001;12.200000
92000;0.000001;12.600000
93000;0.000001;9.800000
94000;0.000001;11.400000
95000;0.000001;11.000000
96000;0.000001;9.000000
97000;0.000001;9.800000
98000;0.000001;11.400000
99000;0.000001;10.600000
100000;0.000001;10.600000
