n;time;compares problem n;compares problem n / 2
1000;0.000002;18.200001;15.200000
2000;0.000002;16.400000;14.000000
3000;0.000002;14.000000;14.000000
4000;0.000002;15.200000;15.200000
5000;0.000002;16.400000;14.000000
6000;0.000002;16.400000;18.200001
7000;0.000001;14.000000;17.600000
8000;0.000001;14.000000;18.200001
9000;0.000002;17.000000;14.000000
10000;0.000002;15.800000;16.400000
11000;0.000003;18.799999;18.200001
12000;0.000002;18.799999;16.400000
13000;0.000002;18.200001;18.200001
14000;0.000002;18.200001;17.600000
15000;0.000002;15.200000;17.600000
16000;0.000002;17.600000;17.600000
17000;0.000002;18.799999;18.799999
18000;0.000002;16.400000;17.600000
19000;0.000002;18.200001;16.400000
20000;0.000002;18.200001;16.400000
21000;0.000002;15.800000;12.800000
22000;0.000002;15.200000;15.800000
23000;0.000002;18.200001;17.000000
24000;0.000002;15.200000;15.200000
25000;0.000002;12.800000;12.800000
26000;0.000004;18.200001;17.000000
27000;0.000002;16.400000;15.800000
28000;0.000002;11.000000;11.000000
29000;0.000002;17.000000;17.000000
30000;0.000002;14.600000;16.400000
31000;0.000002;14.600000;15.200000
32000;0.000002;13.400000;13.400000
33000;0.000003;16.400000;15.200000
34000;0.000003;15.800000;17.000000
35000;0.000002;15.800000;15.800000
36000;0.000002;12.200000;15.800000
37000;0.000002;17.600000;17.600000
38000;0.000003;15.800000;17.600000
39000;0.000004;17.000000;16.400000
40000;0.000002;12.800000;17.600000
41000;0.000002;18.799999;18.799999
42000;0.000003;16.400000;17.600000
43000;0.000002;16.400000;16.400000
44000;0.000003;18.200001;18.799999
45000;0.000002;17.600000;11.600000
46000;0.000002;15.200000;15.200000
47000;0.000002;18.200001;17.000000
48000;0.000002;15.800000;17.000000
49000;0.000002;17.600000;18.200001
50000;0.000002;15.800000;15.800000
51000;0.000002;18.799999;18.799999
52000;0.000002;16.400000;16.400000
53000;0.000002;18.200001;18.200001
54000;0.000004;17.000000;17.000000
55000;0.000002;17.600000;17.600000
56000;0.000002;11.600000;11.000000
57000;0.000002;19.400000;19.400000
58000;0.000002;15.800000;17.600000
59000;0.000002;18.799999;18.799999
60000;0.000002;17.000000;19.400000
61000;0.000002;15.800000;15.800000
62000;0.000002;12.200000;13.400000
63000;0.000002;17.600000;17.600000
64000;0.000002;16.400000;16.400000
65000;0.000003;13.400000;13.400000
66000;0.000002;17.000000;15.200000
67000;0.000005;16.400000;16.400000
68000;0.000002;17.000000;18.200001
69000;0.000004;17.000000;17.000000
70000;0.000002;17.000000;16.400000
71000;0.000002;16.400000;16.400000
72000;0.000002;19.400000;17.000000
73000;0.000004;17.000000;17.000000
74000;0.000002;11.600000;15.200000
75000;0.000003;17.000000;17.600000
76000;0.000003;17.000000;16.400000
77000;0.000002;18.799999;19.400000
78000;0.000002;15.800000;14.600000
79000;0.000002;15.800000;18.799999
80000;0.000002;16.400000;16.400000
81000;0.000002;15.200000;16.400000
82000;0.000004;17.000000;17.000000
83000;0.000002;16.400000;16.400000
84000;0.000002;18.200001;18.200001
85000;0.000002;15.800000;15.800000
86000;0.000002;17.000000;15.200000
87000;0.000002;11.000000;11.000000
88000;0.000002;17.000000;17.000000
89000;0.000002;17.000000;17.000000
90000;0.000002;16.400000;16.400000
91000;0.000002;18.799999;16.400000
92000;0.000002;19.400000;18.799999
93000;0.000002;15.200000;16.400000
94000;0.000003;17.600000;17.000000
95000;0.000002;17.000000;17.000000
96000;0.000002;14.000000;17.000000
97000;0.000004;15.200000;16.400000
98000;0.000002;17.600000;17.600000
99000;0.000002;16.400000;17.600000
100000;0.000003;16.400000;14.000000
