n,time_quick_s,comp_quick_s,swaps_quick_s,time_dual_s,comp_dual_s,swaps_dual_s

100,7.34e-05,2270.2,1274.8,9.62e-05,3007.8,1661.2 
200,0.0001446,5669.6,2990.2,0.0001786,7544.6,3862.8 
300,0.0002488,9284.8,4880.8,0.0003098,12351.6,6209.4 
400,0.0002942,13463.2,6783.2,0.0004086,18281.2,9028.2 
500,0.0004074,17877.8,8859,0.0004962,23356,11292 
600,0.0004818,21834.8,10896.8,0.0006512,29423.8,14020 
700,0.0005882,26308.4,12968.8,0.0007278,34299.8,15903.8 
800,0.0007376,31533,15198.2,0.000943,41341,19664.6 
900,0.0009072,35288.8,16652,0.0012628,47670.8,22356 
1000,0.0010274,41299.8,19687,0.0013134,54516.8,25571.2 
1100,0.0009656,44265.8,21156.4,0.001332,62099,29106.2 
1200,0.0010772,51000,24433,0.0014538,69323,32218.4 
1300,0.0011952,56353.8,26982.4,0.001597,75861.4,35501.4 
1400,0.001313,60735.2,28825.4,0.0017302,82435.8,38671.8 
1500,0.0015668,64987.2,30365.8,0.0019804,88029.2,40217.2 
1600,0.0015594,72737,33796.4,0.001959,93920.4,42653.2 
1700,0.0015724,75896.2,34820,0.0021454,102071,45923.2 
1800,0.0017092,81386.6,37168.8,0.0022914,110037,49710.6 
1900,0.0017858,85663.8,39771.6,0.0023806,115801,51984.8 
2000,0.002011,95182,43722.2,0.0025212,123393,54823 
2100,0.0020434,98706.6,45366,0.002512,127672,56524.8 
2200,0.0021338,102024,47030.4,0.002734,135458,60917.8 
2300,0.0022574,108167,50165,0.003041,144560,64733.8 
2400,0.00255,116314,53937.4,0.0032484,153110,69150 
2500,0.0025104,118161,54683,0.0033544,158213,71522.8 
2600,0.0026998,128814,59545.6,0.0034292,167455,75589 
2700,0.0026666,130367,59956,0.0035238,174937,78430.4 
2800,0.0029166,138472,63572.4,0.0037326,181272,81279.2 
2900,0.0030792,145530,66549.4,0.0040058,192691,86523.8 
3000,0.0030516,147709,67043,0.0040996,199920,89498.2 
3100,0.0031004,150617,68110.2,0.0042672,207627,93089.8 
3200,0.003392,164315,74173.6,0.004481,219133,98502.2 
3300,0.0035296,166573,74742.2,0.004667,227335,101481 
3400,0.0036394,173038,76986.8,0.0048344,230559,102215 
3500,0.0035606,173894,77689.8,0.0048964,241394,106798 
3600,0.0037854,185046,82040.4,0.0051542,251295,111623 
3700,0.0038586,187641,83705.4,0.0052912,257850,115046 
3800,0.0040816,193817,87312,0.005773,266703,118566 
3900,0.004339,203439,91617.8,0.00575,275118,122940 
4000,0.0043946,212019,95001.4,0.0059252,285441,128538 
4100,0.004483,212241,94791,0.0060172,293591,131809 
4200,0.0045984,223453,99772.2,0.006253,299035,134048 
4300,0.0044396,220704,98388.2,0.0060102,301771,134497 
4400,0.0046788,230964,103307,0.0062088,311270,137966 
4500,0.0051478,241153,108347,0.0068044,319980,140132 
4600,0.0053696,242360,109227,0.0069032,322567,140734 
4700,0.0049808,245593,110914,0.0067858,334539,146194 
4800,0.0054026,261344,117738,0.006711,339514,147821 
4900,0.0052302,261437,117087,0.0068548,346586,150511 
5000,0.0054656,268419,120421,0.007008,354843,153110 
5100,0.0055156,273409,123395,0.0073262,368954,159528 
5200,0.0059748,289855,130009,0.0075286,371616,160952 
5300,0.0062282,291709,130461,0.0079714,385719,167249 
5400,0.0062976,293466,131441,0.0085262,394627,171739 
5500,0.0061742,302112,135161,0.0080842,401479,174453 
5600,0.006478,310750,138670,0.0083994,412587,178976 
5700,0.006337,310721,138504,0.0083632,416717,180126 
5800,0.0067046,327325,145548,0.0085552,420498,180450 
5900,0.006542,322024,143214,0.008847,434248,186938 
6000,0.0068186,333878,147084,0.0091158,444643,190276 
6100,0.0070966,340609,149593,0.0091154,442867,188712 
6200,0.0070062,337230,148435,0.0090582,453046,192589 
6300,0.0072326,343690,151037,0.0095128,460023,196254 
6400,0.0075732,368640,162334,0.009141,464448,198161 
6500,0.0085522,368929,161800,0.0108682,478554,204843 
6600,0.0078382,375499,164071,0.0099206,488767,210709 
6700,0.0075862,373183,163133,0.0099456,499813,216387 
6800,0.0080038,387941,168351,0.010198,507366,219318 
6900,0.008986,384828,166936,0.0115146,517775,222733 
7000,0.0078164,390369,169745,0.0102398,520539,224559 
7100,0.0082346,399099,173883,0.0109532,537549,233441 
7200,0.0083974,414835,179607,0.0109526,549322,238616 
7300,0.0081986,401929,174529,0.0111858,552028,240491 
7400,0.0084484,421148,183111,0.0114048,564840,246620 
7500,0.0083666,416467,182284,0.01128,568594,246736 
7600,0.0088098,434416,190263,0.0114406,575686,250334 
7700,0.0092378,451421,198113,0.0117672,586016,254271 
