112
load sample1.txt
find aa
find blackly
find a
find tree
find blackmailed
find Three
find blackmailer's
find three
find First
find aaa
find aa
find blackly
find a
find tree
find Three
find five
find Five
find is
find right
find then
find thou
find a
find tree
find blackmailed
find Three
find blackmailer's
find he
find First
find aaa
find aa
find blackly
find a
find tree
find blackmailed
find Three
find He's
find three
find First
find it
find aa
find is
find a
find tree
find she
find Five
find is
find right
find then
find thou
find aaa
find aa
find blackly
find a
find tree
find blackmailed
find Three
find blackmailer's
find three
find First
find aaa
find aa
find blackly
find a
find tree
find blackmailed
find Three
find blackmailer's
find three
find find
find time
find aa
find blackly
find a
find Three
find five
find Five
find is
find right
find then
find thou
find aa
find was
find a
find tree
find blackmailed
find Three
find with
find three
find which
find aaa
find aa
find blackly
find a
find tree
find blackmailed
find Three
find blackmailer's
find three
find aa
find blackly
find a
find tree
find blackmailed
find Three
find what
find three
find First
find sort
find aa
find blackly
find a
